pin,bank,site,tile,pin_function
P27,15,IOB_X0Y230,LIOB33_X0Y229,IO_L10P_T1_AD4P_15
P28,15,IOB_X0Y229,LIOB33_X0Y229,IO_L10N_T1_AD4N_15
M25,15,IOB_X0Y228,LIOB33_X0Y227,IO_L11P_T1_SRCC_AD12P_15
L25,15,IOB_X0Y227,LIOB33_X0Y227,IO_L11N_T1_SRCC_AD12N_15
L26,15,IOB_X0Y226,LIOB33_X0Y225,IO_L12P_T1_MRCC_AD5P_15
L27,15,IOB_X0Y225,LIOB33_X0Y225,IO_L12N_T1_MRCC_AD5N_15
M23,15,IOB_X0Y224,LIOB33_X0Y223,IO_L13P_T2_MRCC_15
M24,15,IOB_X0Y223,LIOB33_X0Y223,IO_L13N_T2_MRCC_15
N24,15,IOB_X0Y222,LIOB33_X0Y221,IO_L14P_T2_SRCC_15
N25,15,IOB_X0Y221,LIOB33_X0Y221,IO_L14N_T2_SRCC_15
L23,15,IOB_X0Y220,LIOB33_X0Y219,IO_L15P_T2_DQS_15
K24,15,IOB_X0Y219,LIOB33_X0Y219,IO_L15N_T2_DQS_ADV_B_15
N22,15,IOB_X0Y218,LIOB33_X0Y217,IO_L16P_T2_A28_15
M22,15,IOB_X0Y217,LIOB33_X0Y217,IO_L16N_T2_A27_15
P23,15,IOB_X0Y216,LIOB33_X0Y215,IO_L17P_T2_A26_15
P24,15,IOB_X0Y215,LIOB33_X0Y215,IO_L17N_T2_A25_15
L20,15,IOB_X0Y214,LIOB33_X0Y213,IO_L18P_T2_A24_15
L21,15,IOB_X0Y213,LIOB33_X0Y213,IO_L18N_T2_A23_15
N20,15,IOB_X0Y212,LIOB33_X0Y211,IO_L19P_T3_A22_15
M20,15,IOB_X0Y211,LIOB33_X0Y211,IO_L19N_T3_A21_VREF_15
P21,15,IOB_X0Y210,LIOB33_X0Y209,IO_L20P_T3_A20_15
N21,15,IOB_X0Y209,LIOB33_X0Y209,IO_L20N_T3_A19_15
M18,15,IOB_X0Y208,LIOB33_X0Y207,IO_L21P_T3_DQS_15
M19,15,IOB_X0Y207,LIOB33_X0Y207,IO_L21N_T3_DQS_A18_15
P19,15,IOB_X0Y206,LIOB33_X0Y205,IO_L22P_T3_A17_15
N19,15,IOB_X0Y205,LIOB33_X0Y205,IO_L22N_T3_A16_15
N17,15,IOB_X0Y204,LIOB33_X0Y203,IO_L23P_T3_FOE_B_15
M17,15,IOB_X0Y203,LIOB33_X0Y203,IO_L23N_T3_FWE_B_15
P17,15,IOB_X0Y202,LIOB33_X0Y201,IO_L24P_T3_RS1_15
P18,15,IOB_X0Y201,LIOB33_X0Y201,IO_L24N_T3_RS0_15
P22,15,IOB_X0Y200,LIOB33_SING_X0Y200,IO_25_15
E24,16,IOB_X0Y299,LIOB33_SING_X0Y299,IO_0_16
D24,16,IOB_X0Y298,LIOB33_X0Y297,IO_L1P_T0_16
C24,16,IOB_X0Y297,LIOB33_X0Y297,IO_L1N_T0_16
B24,16,IOB_X0Y296,LIOB33_X0Y295,IO_L2P_T0_16
B25,16,IOB_X0Y295,LIOB33_X0Y295,IO_L2N_T0_16
C25,16,IOB_X0Y294,LIOB33_X0Y293,IO_L3P_T0_DQS_16
C26,16,IOB_X0Y293,LIOB33_X0Y293,IO_L3N_T0_DQS_16
A25,16,IOB_X0Y292,LIOB33_X0Y291,IO_L4P_T0_16
A26,16,IOB_X0Y291,LIOB33_X0Y291,IO_L4N_T0_16
C27,16,IOB_X0Y290,LIOB33_X0Y289,IO_L5P_T0_16
B27,16,IOB_X0Y289,LIOB33_X0Y289,IO_L5N_T0_16
D26,16,IOB_X0Y288,LIOB33_X0Y287,IO_L6P_T0_16
D27,16,IOB_X0Y287,LIOB33_X0Y287,IO_L6N_T0_VREF_16
H24,16,IOB_X0Y286,LIOB33_X0Y285,IO_L7P_T1_16
G24,16,IOB_X0Y285,LIOB33_X0Y285,IO_L7N_T1_16
H25,16,IOB_X0Y284,LIOB33_X0Y283,IO_L8P_T1_16
G25,16,IOB_X0Y283,LIOB33_X0Y283,IO_L8N_T1_16
J26,16,IOB_X0Y282,LIOB33_X0Y281,IO_L9P_T1_DQS_16
J27,16,IOB_X0Y281,LIOB33_X0Y281,IO_L9N_T1_DQS_16
H26,16,IOB_X0Y280,LIOB33_X0Y279,IO_L10P_T1_16
H27,16,IOB_X0Y279,LIOB33_X0Y279,IO_L10N_T1_16
F25,16,IOB_X0Y278,LIOB33_X0Y277,IO_L11P_T1_SRCC_16
F26,16,IOB_X0Y277,LIOB33_X0Y277,IO_L11N_T1_SRCC_16
E25,16,IOB_X0Y276,LIOB33_X0Y275,IO_L12P_T1_MRCC_16
E26,16,IOB_X0Y275,LIOB33_X0Y275,IO_L12N_T1_MRCC_16
G27,16,IOB_X0Y274,LIOB33_X0Y273,IO_L13P_T2_MRCC_16
F27,16,IOB_X0Y273,LIOB33_X0Y273,IO_L13N_T2_MRCC_16
G28,16,IOB_X0Y272,LIOB33_X0Y271,IO_L14P_T2_SRCC_16
F28,16,IOB_X0Y271,LIOB33_X0Y271,IO_L14N_T2_SRCC_16
H29,16,IOB_X0Y270,LIOB33_X0Y269,IO_L15P_T2_DQS_16
G29,16,IOB_X0Y269,LIOB33_X0Y269,IO_L15N_T2_DQS_16
F30,16,IOB_X0Y268,LIOB33_X0Y267,IO_L16P_T2_16
E30,16,IOB_X0Y267,LIOB33_X0Y267,IO_L16N_T2_16
H30,16,IOB_X0Y266,LIOB33_X0Y265,IO_L17P_T2_16
G30,16,IOB_X0Y265,LIOB33_X0Y265,IO_L17N_T2_16
J28,16,IOB_X0Y264,LIOB33_X0Y263,IO_L18P_T2_16
J29,16,IOB_X0Y263,LIOB33_X0Y263,IO_L18N_T2_16
E28,16,IOB_X0Y262,LIOB33_X0Y261,IO_L19P_T3_16
D28,16,IOB_X0Y261,LIOB33_X0Y261,IO_L19N_T3_VREF_16
E29,16,IOB_X0Y260,LIOB33_X0Y259,IO_L20P_T3_16
D29,16,IOB_X0Y259,LIOB33_X0Y259,IO_L20N_T3_16
C29,16,IOB_X0Y258,LIOB33_X0Y257,IO_L21P_T3_DQS_16
C30,16,IOB_X0Y257,LIOB33_X0Y257,IO_L21N_T3_DQS_16
B28,16,IOB_X0Y256,LIOB33_X0Y255,IO_L22P_T3_16
B29,16,IOB_X0Y255,LIOB33_X0Y255,IO_L22N_T3_16
B30,16,IOB_X0Y254,LIOB33_X0Y253,IO_L23P_T3_16
A30,16,IOB_X0Y253,LIOB33_X0Y253,IO_L23N_T3_16
A27,16,IOB_X0Y252,LIOB33_X0Y251,IO_L24P_T3_16
A28,16,IOB_X0Y251,LIOB33_X0Y251,IO_L24N_T3_16
J24,16,IOB_X0Y250,LIOB33_SING_X0Y250,IO_25_16
H21,17,IOB_X0Y349,LIOB33_SING_X0Y349,IO_0_17
K23,17,IOB_X0Y348,LIOB33_X0Y347,IO_L1P_T0_17
J23,17,IOB_X0Y347,LIOB33_X0Y347,IO_L1N_T0_17
J22,17,IOB_X0Y346,LIOB33_X0Y345,IO_L2P_T0_17
H22,17,IOB_X0Y345,LIOB33_X0Y345,IO_L2N_T0_17
K21,17,IOB_X0Y344,LIOB33_X0Y343,IO_L3P_T0_DQS_17
J21,17,IOB_X0Y343,LIOB33_X0Y343,IO_L3N_T0_DQS_17
K19,17,IOB_X0Y342,LIOB33_X0Y341,IO_L4P_T0_17
K20,17,IOB_X0Y341,LIOB33_X0Y341,IO_L4N_T0_17
J18,17,IOB_X0Y340,LIOB33_X0Y339,IO_L5P_T0_17
J19,17,IOB_X0Y339,LIOB33_X0Y339,IO_L5N_T0_17
L18,17,IOB_X0Y338,LIOB33_X0Y337,IO_L6P_T0_17
K18,17,IOB_X0Y337,LIOB33_X0Y337,IO_L6N_T0_VREF_17
G23,17,IOB_X0Y336,LIOB33_X0Y335,IO_L7P_T1_17
